#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
462,회색 교수 안경,,회색 얼굴 소품,회색 교수 안경,0,0,0,1,0,0,398755,200462,0,38
463,빨간색 교수 안경,,빨간색 얼굴 소품,빨간색 교수 안경,0,0,0,1,0,0,464291,200463,0,38
464,파란색 교수 안경,,파란색 얼굴 소품,파란색 교수 안경,0,0,0,1,0,0,529827,200464,0,38
465,초록색 교수 안경,,초록색 얼굴 소품,초록색 교수 안경,0,0,0,1,0,0,595363,200465,0,38
466,구리색 교수 안경,,구리색 얼굴 소품,구리색 교수 안경,0,0,0,1,0,0,660899,200466,0,38
467,보라색 교수 안경,,보라색 얼굴 소품,보라색 교수 안경,0,0,0,1,0,0,726435,200467,0,38
468,갈색 교수 안경,,갈색 얼굴 소품,갈색 교수 안경,0,0,0,1,0,0,791971,200468,0,38
469,작은 코안경,,고유색 얼굴 소품,작은 코안경,0,0,0,1,0,0,71076,200469,0,39
470,은색 작은 코안경,,은색 얼굴 소품,은색 작은 코안경,0,0,0,1,0,0,136612,200470,0,39
471,금색 작은 코안경,,금색 얼굴 소품,금색 작은 코안경,0,0,0,1,0,0,202148,200471,0,39
472,검은색 작은 코안경,,검은색 얼굴 소품,검은색 작은 코안경,0,0,0,1,0,0,267684,200472,0,39
473,흰색 작은 코안경,,흰색 얼굴 소품,흰색 작은 코안경,0,0,0,1,0,0,333220,200473,0,39
474,회색 작은 코안경,,회색 얼굴 소품,회색 작은 코안경,0,0,0,1,0,0,398756,200474,0,39
475,빨간색 작은 코안경,,빨간색 얼굴 소품,빨간색 작은 코안경,0,0,0,1,0,0,464292,200475,0,39
476,파란색 작은 코안경,,파란색 얼굴 소품,파란색 작은 코안경,0,0,0,1,0,0,529828,200476,0,39
477,초록색 작은 코안경,,초록색 얼굴 소품,초록색 작은 코안경,0,0,0,1,0,0,595364,200477,0,39
478,구리색 작은 코안경,,구리색 얼굴 소품,구리색 작은 코안경,0,0,0,1,0,0,660900,200478,0,39
479,보라색 작은 코안경,,보라색 얼굴 소품,보라색 작은 코안경,0,0,0,1,0,0,726436,200479,0,39
480,갈색 작은 코안경,,갈색 얼굴 소품,갈색 작은 코안경,0,0,0,1,0,0,791972,200480,0,39
